,tradingsymbol,leg,transaction_type,Stoploss_trigger_price,order_type,exchange,quantity,marketprice,instrument_token,squared,username
0,BANKNIFTY2161735000CE,CE,SELL,694.4,MARKET,NFO,250.0,194.0,13071362.0,false,ES2479
1,BANKNIFTY2161735000PE,PE,SELL,330.0,MARKET,NFO,250.0,163.0,13071618.0,false,ES2479
